GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooGroup10,edu.nwmissouri.zoo10group,Griffin,53,48,2,0,13,18,3,9,2,9
ZooGroup10,edu.nwmissouri.zoo10group,ZooIndexController,545,3,35,0,140,1,37,1,16,1
ZooGroup10,edu.nwmissouri.zoo10group,PaymentType,0,27,0,0,0,5,0,1,0,1
ZooGroup10,edu.nwmissouri.zoo10group,ContestWinner,0,55,0,0,0,22,0,11,0,11
ZooGroup10,edu.nwmissouri.zoo10group,Caretaker,8,60,0,0,4,20,1,5,1,5
ZooGroup10,edu.nwmissouri.zoo10group,ElephantBird,37,42,0,0,9,16,1,8,1,8
ZooGroup10,edu.nwmissouri.zoo10group,ZooApp,5,3,0,0,2,1,1,1,1,1
ZooGroup10,edu.nwmissouri.zoo10group,Animal,37,40,6,0,12,8,8,3,5,3
ZooGroup10,edu.nwmissouri.zoo10group,AnimalGender,0,27,0,0,0,5,0,1,0,1
ZooGroup10,edu.nwmissouri.zoo10group,Glyptodon,53,42,2,0,12,16,2,8,1,8
ZooGroup10,edu.nwmissouri.zoo10group,Employee,6,59,4,6,3,15,4,11,0,9
ZooGroup10,edu.nwmissouri.zoo10group,Person,0,3,0,0,0,1,0,1,0,1
ZooGroup10,edu.nwmissouri.zoo10group,Curator,24,69,0,2,8,23,2,5,2,4
ZooGroup10,edu.nwmissouri.zoo10group,LifetimeMember,0,43,0,0,0,18,0,9,0,9
ZooGroup10,edu.nwmissouri.zoo10group,Member,0,25,0,0,0,9,0,3,0,3
ZooGroup10,edu.nwmissouri.zoo10group,Guest,12,0,0,0,5,0,1,0,1,0
ZooGroup10,edu.nwmissouri.zoo10group,BlackPanther,53,42,2,0,12,16,2,8,1,8
ZooGroup10,edu.nwmissouri.zoo10group,Visitor,33,3,0,0,11,1,7,1,7,1
ZooGroup10,edu.nwmissouri.zoo10group,Brachiosaurus,23,16,0,0,6,7,1,5,1,5
